variable1,variable2,correlation,non_missing_var1,non_missing_var2,non_missing_both,var1_target_corr,var2_target_corr,dropped_variable
TTMOverheadtoSales,PTMargin,-0.9881479882887039,20046,20039,20038,0.010608684196990235,0.010532616918524893,PTMargin
TTMOverheadtoSales,TTMEPStoTTMSales,-0.9873875245877158,20046,20039,20038,0.010608684196990235,0.010718959902968676,TTMOverheadtoSales
CFEV,EBITDAEV,0.9867865585738834,19325,19127,18396,0.00855645378559427,0.0055956030781286305,EBITDAEV
BuyToSellRecLess3MEMA,BuyToSellRecLess3MSMA,0.9862510391562916,19587,19645,19529,0.005191123733566665,0.004521520407625186,BuyToSellRecLess3MSMA
TTMOverheadtoSales,NetProfitMargin,-0.9856815642383003,20046,19432,19432,0.010608684196990235,0.01074231428049621,TTMOverheadtoSales
SusGrwRate,CFEqt,0.9851444381488937,19101,20057,19097,0.0029662289022848814,0.006324862953727186,SusGrwRate
EBITDAP,AdjEBITP,0.9849182839783945,19128,20054,19116,0.002506744554782614,0.0034722007470321926,EBITDAP
EBITDAEV,OCFEV,0.9845407121447635,19127,19318,18389,0.0055956030781286305,0.004837841655917742,OCFEV
PAdjChg1YOCF,PAdjChg1YSales,0.9841736091061873,19216,19963,19201,0.0018011588737401655,0.0018811876477598855,PAdjChg1YOCF
EBITDAEV,FCFEV,0.9825462344416777,19127,19294,18367,0.0055956030781286305,0.00569569813566708,EBITDAEV
EBITP,AdjEBITP,0.9805357953484592,20045,20054,20041,0.0034677827138822823,0.0034722007470321926,EBITP
OCFEqt,FCFEqt,0.9800512465605002,19286,19066,19035,0.005545232875654667,0.005061587273764591,FCFEqt
OCFEqt,ROE,0.977369946666038,19286,20060,19283,0.005545232875654667,0.006402205683765022,OCFEqt
OCFEqt,CFEqt,0.9766915051372272,19286,20057,19284,0.005545232875654667,0.006324862953727186,OCFEqt
PAdjChg1YSales,PAdjChg1YCF,0.9764834682049158,19963,18724,18722,0.0018811876477598855,0.0018413919504598202,PAdjChg1YCF
PAYOUTRATIO,CapAcqRatio,-0.9751223979888985,18331,18191,16486,0.0021965129844866765,0.005989499869816528,PAYOUTRATIO
DivP,CapAcqRatio,-0.9737734148137775,19915,18191,18094,0.0054845036009961295,0.005989499869816528,DivP
CashToSales,TotalAccruals,-0.9731363876416335,20044,19312,19312,0.008796395340468086,0.01660735026607192,CashToSales
50DVolSig,Adj50DVolSig,0.9724548733321063,20039,19861,19854,0.04250482669347086,0.042189091266569514,Adj50DVolSig
IndRel_PTMargin,IndRel_NetProfitMargin,0.9720128904377203,20038,19420,19413,0.005470412440901975,4.111540473584567e-05,IndRel_NetProfitMargin
TotalAccruals,GPMargin,0.9707502805947458,19312,20045,19310,0.01660735026607192,0.010448548975232367,GPMargin
AdjAstAdjChg3YFCF,AstAdjChg3YFCF,0.9705453303872275,18941,18873,18861,0.06927470851135846,0.07317870887362898,AdjAstAdjChg3YFCF
CashToSales,TTMOverheadtoSales,0.9696047557275491,20044,20046,20044,0.008796395340468086,0.010608684196990235,CashToSales
NetProfitMargin,TotalAccruals,0.968232238939503,19432,19312,19310,0.01074231428049621,0.01660735026607192,NetProfitMargin
50To200PrcRatio,PRatio15To36W,0.9679955729874801,20065,20068,20064,0.06152563463801217,0.05220475563410523,PRatio15To36W
PTMargin,TotalAccruals,0.9666868055875666,20039,19312,19307,0.010532616918524893,0.01660735026607192,PTMargin
CFEV,OCFEV,0.9662567640149056,19325,19318,19315,0.00855645378559427,0.004837841655917742,OCFEV
TTMEPStoTTMSales,TotalAccruals,0.9656714740095437,20039,19312,19304,0.010718959902968676,0.01660735026607192,TTMEPStoTTMSales
TTMOverheadtoSales,GPMargin,-0.9656286820909934,20046,20045,20042,0.010608684196990235,0.010448548975232367,GPMargin
IO_ChgofNumBY,IO_ChgofNumHD,0.9656091402351729,19994,19996,19994,0.004319453133614905,0.004914999074897992,IO_ChgofNumBY
PAdjChg3YCF,PAdjChg3YOCF,0.965439354112263,18138,18725,18135,0.003832220771248136,0.0044320297737019424,PAdjChg3YCF
LTDE,BookLev,0.9645570679560661,19399,19422,19372,0.0008272971206697969,0.0007482342256199756,BookLev
CFEV,FCFEV,0.9637293402392086,19325,19294,19292,0.00855645378559427,0.00569569813566708,FCFEV
LTDA,DA,0.9626360707958034,20031,20064,20029,0.013332376837084136,0.006179745590711754,DA
OCFEqt,ETO,0.9618799880420366,19286,20059,19283,0.005545232875654667,0.002958728546111361,ETO
FCFP,FwdFCFPC,0.9608692655959286,19299,19871,19110,0.027251504200881155,0.034683269153628425,FCFP
EBITDAP,EBITP,0.9604150093285357,19128,20045,19116,0.002506744554782614,0.0034677827138822823,EBITDAP
AdjFCFP,FwdFCFPC,0.9603999490501532,19340,19871,19152,0.027804917470625242,0.034683269153628425,AdjFCFP
EbitToAst_2,EbitdaToAst,0.9595721567500798,20071,19153,19153,0.03805984175715485,0.02758107032900219,EbitdaToAst
OCFEqt,SusGrwRate,0.9571348691202074,19286,19101,18356,0.005545232875654667,0.0029662289022848814,SusGrwRate
AdjFwdEPC,FwdEPC,0.9571228892213854,19870,19852,19827,0.029439886791819154,0.03465606169423731,AdjFwdEPC
ETO,CFEqt,0.9545249343594221,20059,20057,20053,0.002958728546111361,0.006324862953727186,ETO
PAYOUTRATIO,AdjFwdFCFPC,-0.953706237893106,18331,19853,18153,0.0021965129844866765,0.013260046493014344,PAYOUTRATIO
SusGrwRate,FCFEqt,0.9513365212435413,19101,19066,18151,0.0029662289022848814,0.005061587273764591,SusGrwRate
PAdjChg1YFCF,PAdjChg1YOCF,0.9511546610790352,18937,19216,18935,0.0014859499276157573,0.0018011588737401655,PAdjChg1YFCF
FCFEqt,ROE,0.9507842264576369,19066,20060,19065,0.005061587273764591,0.006402205683765022,FCFEqt
DivP,AdjFwdFCFPC,-0.950608391398488,19915,19853,19714,0.0054845036009961295,0.013260046493014344,DivP
ETO,ROE,0.948444332419621,20059,20060,20059,0.002958728546111361,0.006402205683765022,ETO
PAdjChg1YFCF,PAdjChg1YCF,0.9454045820470366,18937,18724,18454,0.0014859499276157573,0.0018413919504598202,PAdjChg1YFCF
EstDiffC,AdjEPSNumRevFY1C,0.9443648114731801,19831,19849,19813,0.07620133261577712,0.07511099119713557,AdjEPSNumRevFY1C
PAdjChg3YSales,PAdjChg3YOCF,0.9434401725990407,19389,18725,18622,0.003897715835356201,0.0044320297737019424,PAdjChg3YSales
CFEqt,FCFEqt,0.942513456197799,20057,19066,19061,0.006324862953727186,0.005061587273764591,FCFEqt
TTMOverheadtoSales,TotalAccruals,-0.9422063394784166,20046,19312,19312,0.010608684196990235,0.01660735026607192,TTMOverheadtoSales
NCAP,AdjEBITP,-0.9388347688924916,20063,20054,20044,0.0030945676839636733,0.0034722007470321926,NCAP
AdjEBITDAEV,CashAdjEV,0.9371442270157757,19153,19314,18403,0.0026950585358754015,0.0021565339227411014,CashAdjEV
EbitToAst_2,OEA,0.9370070380297632,20071,20053,20053,0.03805984175715485,0.05866157065089367,EbitToAst_2
AdjFwdFCFPC,CapAcqRatio,0.936293936011755,19853,18191,17998,0.013260046493014344,0.005989499869816528,CapAcqRatio
IndRel_EBITMargin,IndRel_OPM,0.9361793566738673,19121,19120,19118,0.007797469607596684,0.004497389204288087,IndRel_OPM
AstP,AdjEBITP,0.9360713286037442,20062,20054,20044,0.0017879119111433965,0.0034722007470321926,AstP
OCFIC,CFROIC,0.9351420859332203,19284,19419,19279,0.040673077219508816,0.03372156408844621,CFROIC
AstP,EBITDAP,0.9320915762773712,20062,19128,19124,0.0017879119111433965,0.002506744554782614,AstP
AdjInvPEGC,InvPEGC,0.9315100620472979,19071,18989,18830,0.022068844255064272,0.013650864493949371,InvPEGC
EBITDAP,NCAP,-0.9300139289978256,19128,20063,19124,0.002506744554782614,0.0030945676839636733,EBITDAP
PAdjChg1YFCF,PAdjChg1YSales,0.9273528399317016,18937,19963,18927,0.0014859499276157573,0.0018811876477598855,PAdjChg1YFCF
ETO,FCFEqt,0.92129264869371,20059,19066,19065,0.002958728546111361,0.005061587273764591,ETO
IndRelEBITP,IndRel_EBITDAP,0.9194517322235497,16847,19125,16059,0.009493564864923101,0.005870494436331161,IndRel_EBITDAP
LogTTMSales,Sz-style,0.9179421844486424,20045,20068,20044,0.04845347484876495,0.045336315170839615,Sz-style
EBITP,NCAP,-0.9177138597931285,20045,20063,20043,0.0034677827138822823,0.0030945676839636733,NCAP
ETO,SusGrwRate,0.9163181546902391,20059,19101,19099,0.002958728546111361,0.0029662289022848814,ETO
FCFP,AdjFwdFCFPC,0.9150039385197725,19299,19853,19093,0.027251504200881155,0.013260046493014344,AdjFwdFCFPC
AdjFCFP,AdjFwdFCFPC,0.9149770589002735,19340,19853,19135,0.027804917470625242,0.013260046493014344,AdjFwdFCFPC
EbitdaToAst,CFAst,0.9148239867395115,19153,20057,19140,0.02758107032900219,0.04341711692110342,EbitdaToAst
AstP,EBITP,0.9126828558668753,20062,20045,20043,0.0017879119111433965,0.0034677827138822823,AstP
IndRel_AstP,IndRel_NCAP,-0.9101785817862822,20062,19537,19535,0.008541836664169628,0.0024641454807917905,IndRel_NCAP
FCFP,PAYOUTRATIO,-0.902346691371441,19299,18331,17576,0.027251504200881155,0.0021965129844866765,PAYOUTRATIO
PAYOUTRATIO,AdjFCFP,-0.9020395943424684,18331,19340,17619,0.0021965129844866765,0.027804917470625242,PAYOUTRATIO
PAdjChg3YCF,PAdjChg3YSales,0.9016686648525299,18138,19389,18079,0.003832220771248136,0.003897715835356201,PAdjChg3YCF
EbitdaToAst,OEA,0.9001303256223283,19153,20053,19136,0.02758107032900219,0.05866157065089367,EbitdaToAst
CapExToSales,FCFSales,-0.898303286007511,20019,19334,19316,0.017261947016810185,0.01670413931439697,FCFSales
IndRel_FCFEV,IndRel_OCFEV,0.8976449698551914,19288,19319,19287,0.010036863122545063,0.00806011422197799,IndRel_OCFEV
FCFP,CapAcqRatio,0.8943295312243194,19299,18191,18176,0.027251504200881155,0.005989499869816528,CapAcqRatio
AdjFCFP,CapAcqRatio,0.8942414494736086,19340,18191,18170,0.027804917470625242,0.005989499869816528,CapAcqRatio
YoYChgDA,Chg1YLTDA,0.8857661612129527,20045,20003,19990,0.024289622986752305,0.013853962066958143,Chg1YLTDA
39WRtnLag4W,PM9M,0.879009294398491,19946,19969,19942,0.05942996656627176,0.06593839938697564,39WRtnLag4W
FCFP,DivP,-0.8758351747887542,19299,19915,19164,0.027251504200881155,0.0054845036009961295,DivP
AdjFCFP,DivP,-0.8755462031657634,19340,19915,19204,0.027804917470625242,0.0054845036009961295,DivP
CFAst,OEA,0.8733432986828737,20057,20053,20047,0.04341711692110342,0.05866157065089367,CFAst
AstAdjChg3YCF,AstAdjChg3YEPS,0.8715639792517048,18331,19563,18273,0.040276995807186654,0.04257962432172801,AstAdjChg3YCF
PTIP,AdjGFP,0.8686631669980581,20055,20047,20044,0.01949865296876588,0.026934355833759055,PTIP
50To200PrcRatio,PM6M,0.86802780640944,20065,20023,20019,0.06152563463801217,0.07012110719384756,50To200PrcRatio
50To200PrcRatio,RSI26W,0.868000517987114,20065,20023,20020,0.06152563463801217,0.07007819131697457,50To200PrcRatio
EbitToAst_2,CFAst,0.86562966576383,20071,20057,20057,0.03805984175715485,0.04341711692110342,EbitToAst_2
EP,AdjGFP,0.8607026935274379,20051,20047,20041,0.027132575375438728,0.026934355833759055,AdjGFP
FwdFCFPC,CapAcqRatio,0.8594902672396939,19871,18191,18013,0.034683269153628425,0.005989499869816528,CapAcqRatio
PRatio15To36W,RSI26W,0.8558681455406181,20068,20023,20023,0.05220475563410523,0.07007819131697457,PRatio15To36W
PRatio15To36W,PM6M,0.8554609661950519,20068,20023,20021,0.05220475563410523,0.07012110719384756,PRatio15To36W
IndRelEBITP,IndRel_PTIP,0.8535120940112025,16847,20054,16844,0.009493564864923101,0.005800945171514393,IndRel_PTIP
4To52WPrcOsc,50To200PrcRatio,-0.8522167506304094,19894,20065,19891,0.05998659626164484,0.06152563463801217,4To52WPrcOsc
FCFSales,EBITMargin,0.8515479133387528,19334,19123,18413,0.01670413931439697,0.011260645176659909,EBITMargin
PRatio15To36W,6MChgTgtPrc,0.8514026513661784,20068,19512,19507,0.05220475563410523,0.06159336222084116,PRatio15To36W
ShortIntRatio,IndRel_ShortIntRatio,0.8508212365394723,20024,20027,20011,0.03981893279109318,0.04265982720649604,ShortIntRatio
SalesToEPSChg,PAdjChg1YSales,0.8503965016056861,19953,19963,19944,3.953832294054153e-05,0.0018811876477598855,SalesToEPSChg
AstAdjChg1YEPS,AstAdjChg1YCF,0.8503720268348188,20002,18828,18803,0.05411167297119547,0.04901103701443368,AstAdjChg1YCF
3MSalesMom,6MTTMSalesMom,0.8491850137428386,19921,19896,19887,0.033611864134058464,0.03659355501399627,3MSalesMom
PM9M,6MChgTgtPrc,0.8484202844055077,19969,19512,19455,0.06593839938697564,0.06159336222084116,6MChgTgtPrc
PAdjChg3YSales,PAdjChg3YFCF,0.8472658778672284,19389,18457,18355,0.003897715835356201,0.0022375823156999815,PAdjChg3YFCF
50To200PrcRatio,6MChgTgtPrc,0.8463741325702022,20065,19512,19504,0.06152563463801217,0.06159336222084116,50To200PrcRatio
IndRel_50DVolSig,Adj50DVolSig,0.8463253842071269,20044,19861,19859,0.033680167505648236,0.042189091266569514,IndRel_50DVolSig
14DayRSI,20DStochastic,0.8452746173846246,20062,20067,20055,0.006869104367955566,0.002512488581564931,20DStochastic
EBITDAMargin,FCFSales,0.8441210689813056,19025,19334,18317,0.007767135293228289,0.01670413931439697,EBITDAMargin
39WRtnLag4W,PM12M1M,0.8433429827067931,19946,19886,19885,0.05942996656627176,0.05869538913287741,PM12M1M
IndRel_50DVolSig,50DVolSig,0.8432105206155325,20044,20039,20035,0.033680167505648236,0.04250482669347086,IndRel_50DVolSig
EBITDAMargin,CashToSales,-0.8430806894448135,19025,20044,19025,0.007767135293228289,0.008796395340468086,EBITDAMargin
CashToSales,EBITMargin,-0.8404109946794855,20044,19123,19122,0.008796395340468086,0.011260645176659909,CashToSales
RelPrStr_12M,VolAdjRtn12M,0.8403004014273229,19859,19859,19853,0.02071943989930584,0.04209273466908096,RelPrStr_12M
39WRtnLag4W,6MChgTgtPrc,0.8401392973503725,19946,19512,19433,0.05942996656627176,0.06159336222084116,39WRtnLag4W
50To200PrcRatio,PM9M,0.8399995517374195,20065,19969,19968,0.06152563463801217,0.06593839938697564,50To200PrcRatio
CashToSales,OPM,-0.8398819703305943,20044,19123,19122,0.008796395340468086,0.007961064629439856,OPM
OPM,FCFSales,0.8398515438944598,19123,19334,18413,0.007961064629439856,0.01670413931439697,OPM
BVEV,CashAdjEV,0.83864801150169,20063,19314,19314,0.002370679414977888,0.0021565339227411014,CashAdjEV
AdjFwdFCFPC,FwdFCFPC,0.837664186014597,19853,19871,19777,0.013260046493014344,0.034683269153628425,AdjFwdFCFPC
IndRel_PAdjChg1YSales,PAdjChg1YCF,0.8366767564381955,19870,18724,18721,0.0005605896047422204,0.0018413919504598202,IndRel_PAdjChg1YSales
PRatio15To36W,StdErr180D,0.834172900960461,20068,19975,19974,0.05220475563410523,0.0460806604424112,StdErr180D
PAdjChg1YOCF,IndRel_PAdjChg1YSales,0.833982792539652,19216,19870,19201,0.0018011588737401655,0.0005605896047422204,IndRel_PAdjChg1YSales
DepToCapex,CapAcqRatio,-0.8333980327371485,19404,18191,17869,0.00417496314381195,0.005989499869816528,DepToCapex
AdjEBITP,IndRel_EBITDAP,0.8312868716762519,20054,19125,19115,0.0034722007470321926,0.005870494436331161,AdjEBITP
EP,PTIP,0.8277212106867242,20051,20055,20048,0.027132575375438728,0.01949865296876588,PTIP
50To200PrcRatio,StdErr180D,0.827147276252171,20065,19975,19973,0.06152563463801217,0.0460806604424112,StdErr180D
PAdjChg1YSales,IndRel_PAdjChg1YSales,0.8232884418820572,19963,19870,19869,0.0018811876477598855,0.0005605896047422204,IndRel_PAdjChg1YSales
EBITP,IndRel_EBITDAP,0.8229019199599146,20045,19125,19114,0.0034677827138822823,0.005870494436331161,EBITP
NCAP,IndRel_EBITDAP,-0.821119025226028,20063,19125,19123,0.0030945676839636733,0.005870494436331161,NCAP
EBITDAP,IndRel_EBITDAP,0.8210754269609561,19128,19125,19123,0.002506744554782614,0.005870494436331161,EBITDAP
4To52WPrcOsc,PRatio15To36W,-0.8179995660245504,19894,20068,19894,0.05998659626164484,0.05220475563410523,PRatio15To36W
AstP,IndRel_EBITDAP,0.8160251790852046,20062,19125,19121,0.0017879119111433965,0.005870494436331161,AstP
4To52WPrcOsc,PrcTo52WH,-0.8159274733883949,19894,20067,19893,0.05998659626164484,0.042483949936680226,PrcTo52WH
PAdjChg3YCF,IndRel_PAdjChg3YSales,0.8139088440340962,18138,19294,18076,0.003832220771248136,0.005033044597910207,PAdjChg3YCF
ShortIntTrdVol,IndRel_ShortIntTrdVol,0.8112253755245986,20024,20021,20009,0.028572165109805984,0.01756923089217371,IndRel_ShortIntTrdVol
IndRel_NCAP,IndRel_EBITDAP,-0.8104503763861284,19537,19125,18740,0.0024641454807917905,0.005870494436331161,IndRel_NCAP
AstAdjChg3YFCF,AstAdjChg3YOCF,0.8068354750481463,18873,18904,18864,0.07317870887362898,0.06090016527331716,AstAdjChg3YOCF
SalesToEPSChg,PAdjChg1YCF,0.8041773585862036,19953,18724,18705,3.953832294054153e-05,0.0018413919504598202,SalesToEPSChg
IndRel_AstP,IndRel_SP,0.8037878528255414,20062,20052,20052,0.008541836664169628,0.0027294696554085894,IndRel_SP
PAYOUTRATIO,FwdFCFPC,-0.8021838465685917,18331,19871,18164,0.0021965129844866765,0.034683269153628425,PAYOUTRATIO
IndRelEBITP,IndRel_BP,-0.8009116705352208,16847,20062,16845,0.009493564864923101,0.01858051014594798,IndRelEBITP
